"","cluster","geo_id","StartTime","EndTime","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.50.","Lat.2.5.","Lat.97.5.","sitenum","duration","period","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.arrival","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","Breeding_region_MC","site_type","IQR.lon.dist","IQR.lat.dist","fall.br.departure","spring.br.arrival","NB_count","year.difference","Standard.geo.id","NB.first.site.arrival","id","sorted.num","next.cluster","geometry"
"1",12,"3254_001","2016-10-28 21:58:42","2017-04-11 09:46:58",-57.2446665038422,-57.8700526544625,-56.4197515176272,5.8156595663044,4.96156620245672,6.4251740587843,7,164.491851851852,"Non-breeding period","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2016-10-28","2017-04-11",2017,"2017-03-20","No","2016-08-10","2016-08-20",NA,NA,0,"2016-08-22","2017-05-29","2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","Northwestern Region","Nonbreeding",160615.781798062,162928.081287421,"2016-08-18",NA,1,0,"3254-001","2016-10-28 21:58:42",1,12,16,c(1858754.03636972, 652379.705376583)
"2",15,"3254_003","2016-10-23 22:12:30","2016-12-20 10:00:25",-63.3311552467205,-63.4707260345594,-63.2030559212954,-0.364787249744487,-1.01579458301313,-0.0625442567945095,10,57.4916087962963,"Non-breeding period","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2016-12-19",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2016-10-23",NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,NA,NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","Northwestern Region","Nonbreeding",29796.2967960191,106115.340913179,"2016-08-17",NA,1,0,"3254-003","2016-10-23 22:12:30",1,15,16,c(1187634.35083106, -40571.7135439806)
"3",12,"3254_008","2016-10-26 22:02:03","2017-04-04 09:47:43",-58.2953088859343,-58.3881090629413,-58.1888564490777,1.24187771826638,0.777484328806457,1.70071947458949,9,159.490046296296,"Non-breeding period","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2016-10-26","2017-04-04",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-25","2017-05-29","2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","Northwestern Region","Nonbreeding",22175.4894742268,102774.06631102,"2016-08-25",NA,1,0,"3254-008","2016-10-26 22:02:03",1,12,16,c(1747963.49559118, 139066.185248602)
"4",15,"3254_011","2016-10-17 22:16:47","2017-01-12 10:09:36",-63.4416892542618,-64.0138976008643,-62.9314286680895,-2.20741697197656,-4.0547897621688,-0.839574407757568,9,86.4950115740741,"Non-breeding period","","2740-82903",NA,"Setophaga","2016-06-12","13:37:00","2017-01-11",NA,"2016-06-12","2017-01-11","","AHY","Adult",79.5,13.16,"Male","striata","harness",64.86398,-163.69373,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"South","Yes","No",91.5191813,92,0.05,1000,20,3,1,0.7,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2016-10-17",NA,2017,"2017-03-20","No","2016-08-01","2016-08-10",NA,NA,0,"2016-08-14",NA,"2016-08-07 0:00","2016-10-28",NA,NA,NA,"","","","","","Northwestern Region","Nonbreeding",120410.469435561,357916.136043773,"2016-08-13",NA,1,0,"3254-011","2016-10-17 22:16:47",1,15,16,c(1174765.43792179, -245480.510281075)
"5",15,"3254_057","2016-10-17 22:21:06","2017-04-16 22:37:52",-63.3741121313668,-63.4455316040345,-63.334754944971,2.56855419526108,2.17327233139867,2.74348051203202,7,181.011643518518,"Non-breeding period","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,"2016-10-17","2017-04-16",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"2016-08-23","2017-06-01","2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","Northwestern Region","Nonbreeding",12319.2119127807,63475.284314264,"2016-08-23",NA,1,0,"3254-057","2016-10-17 22:21:06",1,15,16,c(1182077.56229309, 285662.756141888)
"6",12,"4068_014","2016-10-12 10:15:02","2017-04-19 09:57:36",-62.8522607552897,-63.091121513093,-62.6425992808387,3.48527536510173,2.0809831040349,4.81111077973115,8,188.987893518519,"Non-breeding period","","1760-53551",NA,"Setophaga","2016-06-05","12:01:00","2017-06-03",NA,"2016-06-05","2017-06-03","",NA,NA,NA,NA,"Male","striata","harness",63.72073,-149.42917,NA,NA,"","","","Denali, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"Both","Yes","No",91.51453942,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,"2016-10-12","2017-04-19",2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"2016-08-18","2017-05-29","2016-08-19","2017-05-28","2016-10-26","2017-04-19",NA,"","","","","","Northwestern Region","Nonbreeding",49836.9195850331,303916.42265913,"2016-08-18","2017-06-04",1,0,"4068-014","2016-10-12 10:15:02",1,12,17,c(1239432.12345874, 387842.939248424)
"7",14,"4105_008","2016-10-22 22:10:16","2017-04-24 10:28:11",-69.2551340131297,-69.4913968634287,-68.9976359456035,0.608838019990415,-0.311634617355495,1.38645422638915,6,183.51244212963,"Non-breeding period","","2740-81720",NA,"Setophaga","2016-06-18","","2017-06-25",NA,"2016-06-18","2017-06-25","","AHY","Adult",76,12.75,"Male","striata","harness",58.72798,-93.8313,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"Both","Yes","No",92.73995246,90,0.18,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-22","2017-04-24",2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-08","2017-06-22",-2.5,"2016-08-28","2017-06-04","2016-08-28","2017-06-05","2016-11-05","2017-04-28",NA,"","","","","","Central Region","Nonbreeding",54962.1107100029,189030.385407392,"2016-09-09","2017-06-04",1,0,"4105-008","2016-10-22 22:10:16",1,14,20,c(528176.299550619, 67399.3770990067)
"8",13,"4105_009","2016-10-13 22:14:05.585144","2017-05-03 22:45:11.263434",-67.0192329471321,-67.0787429465488,-66.939002725294,3.61531308946411,3.37447664788752,3.82620155073408,7,202.021593498728,"Non-breeding period","","2740-81717",NA,"Setophaga","2016-06-18","","2017-06-27",NA,"2016-06-18","2017-06-27","","ASY","Adult",74.5,12.25,"Male","striata","harness",58.731288,-93.82587,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.7408646,90.25,0.08,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,TRUE,-93.8313,58.71955,"2016-10-13","2017-05-03",2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-12","2017-06-23",0,"2016-08-28","2017-06-01","2016-08-28","2017-06-06","2016-10-20","2017-05-02",NA,"","","","","","Central Region","Nonbreeding",15524.8528135368,50285.7861635203,"2016-08-28","2017-06-01",1,0,"4105-009","2016-10-13 22:14:05.585144",1,13,20,c(776068.666897077, 400762.337569902)
"9",13,"4105_016","2016-10-22 22:13:48","2017-03-30 10:19:53",-66.7417845264435,-66.9641920835817,-66.5161711069615,3.61641006464387,2.82459290272878,4.38886899887502,8,158.504224537037,"Non-breeding period","","2740-81731",NA,"Setophaga","2016-06-22","","2017-06-22",NA,"2016-06-22","2017-06-22","","SY","Adult",71,13,"Male","striata","harness",58.71955,-93.83599,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.90378591,92,0.118,1000,20,3,1,0.8,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-22","2017-05-22",2017,"2017-03-20","No","2016-07-10","2016-08-20","2017-06-15","2017-06-20",2,"2016-09-11","2017-06-10","2016-09-09","2017-06-10","2016-10-31","2017-04-28",NA,"","","","","","Central Region","Nonbreeding",49774.1536264266,174134.418483089,"2016-09-10","2017-06-10",1,0,"4105-016","2016-10-22 22:13:48",1,13,20,c(806912.454340876, 400964.894215446)
"10",15,"4105_017","2016-11-15 22:28:51","2017-04-23 22:35:02",-64.7341580630623,-64.992755008935,-64.4601293389436,0.889333014767012,-0.0906176392352274,1.7624110957978,5,159.004293981481,"Non-breeding period","","2740-81712",NA,"Setophaga","2016-06-16","","2017-06-21",NA,"2016-06-16","2017-06-21","","ASY","Adult",77,12.75,"Male","striata","harness",58.71087,-93.84027,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",93.15526598,94,0.09,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-11-15","2017-04-23",2017,"2017-03-20","No","2016-07-05","2016-08-20","2017-06-10","2017-06-20",2,"2016-09-13","2017-05-31","2016-08-19 0:00","2017-06-06 0:00","2016-11-30 0:00","2017-03-22 0:00",NA,"","","","","","Central Region","Nonbreeding",59284.4760143486,206278.21520918,"2016-09-13","2017-05-31",1,0,"4105-017","2016-11-15 22:28:51",1,15,20,c(1031386.23350884, 98770.2629625075)
"11",15,"4210_002","2016-10-15 21:56:44","2017-04-28 22:31:04",-63.8720372107536,-64.0206705548745,-63.723564193326,-1.50518027591197,-2.24352608519277,-0.789837965982636,7,195.023842592593,"Non-breeding period","","2740-81732",NA,"Setophaga","2016-06-22","","2017-06-21",NA,"2016-06-22","2017-06-21","","AHY","Adult",78,13.5,"Male","striata","harness",58.63169,-93.8201,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.71696,92.25,0.08,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-15","2017-04-28",2017,"2017-03-20","No","2016-07-05","2016-08-20","2017-06-10","2017-06-20",0,"2016-09-06","2017-06-01","2016-09-06 0:00","2017-06-01 0:00","","",NA,"","","","","","Central Region","Nonbreeding",33062.316900784,161823.821202703,"2016-09-06","2017-06-01",1,0,"4210-002","2016-10-15 21:56:44",1,15,20,c(1127180.93823159, -167310.240861917)
"12",14,"4210_004","2016-10-11 10:22:45.170154","2016-11-28 22:14:51.17233",-71.2960020764933,-71.6954442668476,-70.8519335366862,0.24044636833101,-1.60561524410105,1.64447944239155,7,48.4945139140774,"Non-breeding period","","2740-81716",NA,"Setophaga","2016-06-18","","2017-06-24",NA,"2016-06-18","2017-06-24","","ASY","Adult",76,12.5,"Male","striata","harness",58.73192,-93.8277,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.52651409,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,"No ","Central",FALSE,TRUE,-93.8313,58.71955,"2016-10-11","2017-04-17",2017,"2017-03-20","No","2016-06-20","2016-09-05","2017-06-12","2017-06-21",0,"2016-09-08","2017-06-03","2016-09-08","2017-06-03","2016-10-30","2017-04-20",NA,"","","","","","Central Region","Nonbreeding",93898.3581035915,361798.885530281,"2016-09-10","2017-06-03",1,0,"4210-004","2016-10-11 10:22:45.170154",1,14,20,c(301005.916208463, 26597.1230368685)
"13",15,"4210_006","2016-10-18 09:55:20","2017-02-09 09:54:30",-58.9509989655199,-59.2890309124357,-58.6634323382133,-0.342797502724241,-1.26911833176494,0.656095832532875,6,113.999421296296,"Non-breeding period","","2740-81704",NA,"Setophaga","2016-06-15","","2016-12-31",NA,"2016-06-15","2016-12-31","","ASY","Adult",73,11.75,"Male","striata","harness",58.69371,-93.85276,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",92.79228387,92.5,0.05,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,"2016-10-18",NA,2017,"2017-03-20","No","2016-07-01","2016-08-20",NA,NA,3,"2016-09-08",NA,"2016-09-02 0:00",NA,"2016-10-23","2017-04-20 0:00",NA,"","","","","","Central Region","Nonbreeding",69640.0682873329,214313.860437631,"2016-09-07",NA,1,0,"4210-006","2016-10-18 09:55:20",1,15,20,c(1675227.09132062, -38346.928010016)
"14",11,"A","2013-10-18 04:00:00","2014-03-07 10:51:09.405404",-70.4814447228693,-70.6222908300681,-70.3685082656469,10.7422961373408,10.196218340542,11.1138137608553,9,140.285525525508,"Non-breeding period","","2110-80395",NA,"Setophaga","2013-06-13","0:30:00","2014-06-04",NA,"2013-06-13","2014-06-04","2012-07-01","AHY","Adult",NA,11.2,"Male ","striata","harness",44.528354,-72.8165699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","Yes ",120,NA,-4.01048079570135,"Both","Yes","Yes",93.0652857682246,92.25,0.125,1000,20,3,1,0.9,250,14,FALSE,"No","Eastern",TRUE,TRUE,-72.815699,44.528354,"2013-10-18","2014-05-06",2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-30","2014-06-05",0,"2013-09-13","2014-05-26","2016-10-23",NA,"2016-09-02",NA,NA,"2013-10-13","2013-10-15","2013-10-17","2013-10-18","good","Eastern Region","Nonbreeding",27755.8604635605,102146.254943513,"2013-09-13","2014-05-26",1,0,"A","2013-10-18 04:00:00",1,11,24,c(387111.231659974, 1188705.38610147)
"15",11,"B","2013-10-24 04:00:00","2014-04-19 10:26:30",-71.4820676696267,-71.6462290720232,-71.3175852953029,7.12985253822285,6.37593178457263,7.81430511973526,7,177.268402777778,"Non-breeding period","","2490-89933",NA,"Setophaga","2013-06-18","4:45:00","2014-06-17",NA,"2013-06-18","2014-06-17","2012-07-01","AHY","Adult",NA,12.8,"Female ","striata","harness",44.528354,-72.815699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","No ",120,NA,NA,"Both","Yes","No",92.52512211,92.5,0.16,1000,20,3,1,0.9,250,14,FALSE,"","Eastern",TRUE,FALSE,-72.815699,44.528354,"2013-10-24","2014-04-19",2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-25","2014-06-10",0,"2013-09-03",NA,"","","","",NA,"2013-09-01","2013-11-01","2013-10-23","2013-10-24","good","Eastern Region","Nonbreeding",36301.5642675718,160118.987240926,"2013-09-19","2014-05-11",1,0,"B","2013-10-24 04:00:00",1,11,24,c(278855.859477998, 788673.507925541)
"16",13,"C","2013-10-07 04:00:00","2014-03-02 10:24:45",-67.6850625398003,-67.6994399290728,-67.6757211108199,3.90187074129997,3.84115771246565,3.94595828596105,5,146.2671875,"Non-breeding period","","2740-02206",NA,"Setophaga","2013-06-16","0:12:00","2014-03-14",NA,"2013-06-16","2014-03-14","2011-07-01","AHY","Adult",NA,12.7,"Male","striata","harness",43.464762,-65.7499,NA,NA,"captured and released on Bon Portage Island, NS, Canada","removal","none","Nova Scotia, Canada","Breeding","Migrate Technology Ltd Intigeo-W50 (0.45 g including harness) geolocators","Bon Portage Island","Migrate Technology Ltd","0.45","Intigeo-W50","","F562","Deluca et al. 2015","Yes ",300,NA,NA,"South","Yes","No ",93.4612205,90.75,0.05,1000,20,3,1,0.97,250,14,FALSE,"No","Eastern",TRUE,FALSE,-65.8820445,43.4367935,"2013-10-07",NA,2014,"2014-03-20","No","2013-06-15","2013-08-01",NA,NA,0,NA,NA,"","","","",NA,"2013-09-25","2013-09-27","2013-10-06","2013-10-07","good","Eastern Region","Nonbreeding",2634.24655186098,11666.3464763504,"2013-08-30",NA,1,0,"C","2013-10-07 04:00:00",1,13,25,c(701894.052643619, 432332.800728081)
"17",11,"D","2013-11-10 10:41:35","2014-04-15 10:32:06",-72.3383817582398,-72.7546709117761,-71.9647506463409,11.3156366859076,10.2598760925257,11.8458959051871,11,155.993414351852,"Non-breeding period","","2740-02250",NA,"Setophaga","2013-08-25","1:45:00","2014-04-15",NA,"2013-08-25","2014-04-15","2013-07-01","HY","Juvenile",72,12.1,"Female","striata","harness",43.408825,-66.014189,NA,NA,"captured and released on Seal Island, NS, Canada","removal","none","Nova Scotia, Canada","Breeding","Migrate Technology Ltd Intigeo-W50 (0.45 g including harness) geolocators","Seal Island","Migrate Technology Ltd","0.45","Intigeo-W50","tag-retrieval","F579","Deluca et al. 2015","Yes ",300,NA,4.47620533307393,"South","Yes","Yes",91.8640226746635,92.75,0.185,1000,20,3,1,0.92,250,14,FALSE,"No","Eastern",TRUE,FALSE,-65.8820445,43.4367935,"2013-11-10","2014-04-15",2014,"2014-03-20","No","2013-09-01","2013-10-17",NA,NA,0,NA,NA,"","","","",NA,"","","","","","Eastern Region","Nonbreeding",86224.1685380268,176554.917933519,"2013-09-20",NA,1,0,"D","2013-11-10 10:41:35",1,11,25,c(182574.755570155, 1251555.21191025)
"18",11,"E","2013-11-10 11:04:24.645777","2014-02-26 22:56:14.111755",-72.2811705772609,-72.507148494565,-72.0574186476183,11.1063396771843,10.4564033537484,11.645891750218,9,108.494322522895,"Non-breeding period","","2540-59026",NA,"Setophaga","2013-06-18","0:50:00","2014-07-08",NA,"2013-06-18","2014-07-08","2012-07-01","Adult","Adult",NA,11,"Male ","striata","harness",44.528359,-72.815699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (0.6 g including harness) geolocators","","Biotrack","0.6","MK-6","tag-retrieval","","Deluca et al. 2015","No ",120,NA,NA,"Both","Yes","No ",93.38441885,91.5,0.255,1000,20,3,1,0.89,250,14,FALSE,"No ","Eastern",FALSE,FALSE,-72.815699,44.528354,"2013-11-10","2014-04-28",2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-25","2014-06-10",0,NA,"2014-05-14","","","","",NA,"","","","","","Eastern Region","Nonbreeding",49126.067696553,132413.242599501,"2013-10-18","2014-05-14",1,0,"E","2013-11-10 11:04:24.645777",1,11,24,c(188952.041741409, 1228412.414049)
"19",12,"V7638_001","2018-11-03 09:52:49.336562","2019-04-27 10:02:24.751165",-62.3909123484104,-62.3960106031706,-62.3844739297177,3.40912474599288,3.38110687047818,3.43452448856477,11,175.006659891238,"Non-breeding period","","1780-53957",NA,"Setophaga","2018-06-12","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72697,-149.4133,63.72709,-149.41327,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.47625391,91.25,0.14,1000,20,3,1,0.71,250,14,FALSE,"No","Western",FALSE,TRUE,-149.416795,63.722625,"2018-11-03","2019-04-27",2019,"2019-03-19","Yes","2018-07-25","2018-08-25",NA,NA,0,"2018-09-01","2019-05-22","","","","",NA,"","","","","","Northwestern Region","Nonbreeding",1281.98395558967,5946.42204478886,"2018-08-31","2019-05-22",1,0,"7638-001","2018-11-03 09:52:49.336562",1,12,17,c(1290794.09372096, 379572.742168262)
"20",15,"V7638_005","2018-11-10 22:21:05","2019-03-21 10:41:29.068965",-65.5540904282502,-66.2192352261636,-64.8513902715744,2.98115406740111,0.902033948176321,5.05456031717505,10,130.514167464872,"Non-breeding period","","1760-53518",NA,"Setophaga","2018-06-14","","2019-07-08",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72635,-149.41446,63.72527,-149.41557,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.69946741,92,0.16,1000,20,3,1,0.63,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,"2018-11-10","2019-04-20",2019,"2019-03-19","Yes","2018-07-25","2018-08-20",NA,NA,4,"2018-08-22","2019-05-22","","","","",NA,"","","","","","Northwestern Region","Nonbreeding",152061.729321053,462257.120902579,"2018-08-25","2019-06-10",1,0,"7638-005","2018-11-10 22:21:05",1,15,17,c(939348.966943497, 330846.005212615)
"21",13,"V7638_009","2018-10-27 10:03:18.439452","2019-04-26 22:43:59.85118",-66.6418605938876,-66.9107958582454,-66.4261957739213,5.57913708637616,4.59769760442406,6.36830610875005,8,181.528257080184,"Non-breeding period","","1760-53502",NA,"Setophaga","2018-07-07","","2019-07-10",NA,"","","","AHY","Adult",NA,NA,"Male","Striata","",63.72141,-149.42673,63.72145,-149.4257,"","","","Denali, Alaska","Breeding","","","Biotrack","","MK-6040","","","Unpublished","No",120,NA,NA,"Both","Yes","No",90.76873855,92.75,0.12,1000,20,3,1,0.7,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,"2018-10-27","2019-04-26",2019,"2019-03-19","Yes","2018-07-25","2018-08-22",NA,NA,2.5,"2018-08-23","2019-05-23","","","","",NA,"","","","","","Northwestern Region","Nonbreeding",53689.8863886342,197103.237095808,"2018-08-27","2019-05-22",1,0,"7638-009","2018-10-27 10:03:18.439452",1,13,17,c(816525.370502142, 618634.789046419)
