"geo.id","geo.id2","band.id","animal.id","animal.taxon","deploy.on.date","deploy.on.time_GMT","deploy.off.date","deploy.off.time","lig.estimated.deploy.day","lig.estimated.recovery.day","animal.latest.date.born","animal.life.stage","Age.status","Wing.cord.mm","animal.mass","animal.sex","animal.taxon.detail","attachment.type","deploy.latitude","deploy.longitude","recovery.latitude","recovery.longitude","deployment.comments","deployment.end.type","manipulation.type","study.site","deploy.range","tag.comments","study.site.specification","tag.manufacturer.name","tag.mass","tag.model","tag.readout.method","tag.serial.no","Study","preliminary_analysis","recording_interval_seconds","light_threshold","Time_shift_hours","Recorded_North_South_mig","Light_Data_Available","Time_shift","In_habitat_median_zenith_angle","Hill_Ekstrom_median_angle","tol","MCMC.iter","MCMC.thin","MCMC.chains","changeLight.days","changelight.quantile","mergesites.distance","stat.nbr.limit","path.elongated","Insert_twilights","Range_region","Fall_carrib_edits","Clock_drift_edits","mod.deploy.lon","mod.deploy.lat","nbr.arrival","nbr.departure","spring.equinox.year","spring.equinox.date","Recaptured","IH.calib.start","IH.calib.end","IH.calib.start2","IH.calib.end2","Zenith0_adjustment","br.departure","br.arrival","br.departure.woodsworth","br.arrival.woodsworth","nbr.arrival.woodsworth","nbr.departure.woodsworth","X","First.trans.flight.start","first.trans.flight.start","First.trans.flight.start.1","first.trans.flight.start.1","light.review.quality","fall.br.departure","spring.br.arrival","X.1","Standard.geo.id","Breeding_region_MC"
"3254_001","","2740-82912",NA,"Setophaga","2016-06-14","13:41:00","2017-06-10",NA,"2016-06-14","2017-06-10","","AHY","Adult",75,12.73,"Male","striata","harness",64.820971,-163.71321,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.97459648,93,0.13,1000,20,3,1,0.7,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,17102,17274,2017,"2017-03-20","No","2016-07-12","2016-07-26",NA,NA,0,"17035",17315,"2016-07-25 0:00","2017-05-29 0:00","2016-10-31","2017-04-08",NA,"","","","","","2016-08-18 13:37","2017-05-23 10:17",NA,"3254-001","Northwestern Region"
"3254_003","","2740-82914",NA,"Setophaga","2016-06-14","15:48:00","2017-06-11",NA,"2016-06-14","2016-12-19","","AHY","Adult",79,13.44,"Male","striata","harness",64.82774,-163.71794,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",91.58918499,91,0.12,1000,20,3,1,0.8,250,14,FALSE,"No","Western",FALSE,FALSE,-163.71321,64.82774,17097,NA,2017,"2017-03-20","No","2016-08-01","2016-08-12",NA,NA,1,"2016-08-17 7:23",NA,"2016-08-15 0:00",NA,"2016-10-27",NA,NA,"","","","","","2016-08-17 7:23",NA,NA,"3254-003","Northwestern Region"
"3254_008","","2740-82911",NA,"Setophaga","2016-06-14","12:46:00","2017-06-05",NA,"2016-06-14","2017-06-05","","AHY","Adult",76,12.46,"Male","striata","harness",64.83017,-163.7117,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.39770074,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,17100,17260,2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"17038",NA,"2016-10-30","2017-04-06","2016-10-30","2017-06-03 0:00",NA,"","","","","","2016-08-25 6:44","2017-05-28 6:32",NA,"3254-008","Northwestern Region"
"3254_057","","2740-82921",NA,"Setophaga","2016-06-15","11:40:00","2017-06-07",NA,"2016-06-15","2017-06-07","","AHY","Adult",76,13.35,"Male","striata","harness",64.6375,-165.28943,NA,NA,"","","","Nome, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.77571139,93,0.14,1000,20,3,2,0.88,250,14,TRUE,"No","Western",FALSE,FALSE,-163.71321,64.82774,17091,17272,2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2.5,"17036",17318,"2016-08-22","2017-06-04","2016-10-29","2017-04-02",NA,"","","","","","2016-08-23 14:58","2017-05-25 7:13",NA,"3254-057","Northwestern Region"
"4068_014","","1760-53551",NA,"Setophaga","2016-06-05","12:01:00","2017-06-03",NA,"2016-06-05","2017-06-03","",NA,NA,NA,NA,"Male","striata","harness",63.72073,-149.42917,NA,NA,"","","","Denali, Alaska","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"Both","Yes","No",91.51453942,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,"No","Western",FALSE,FALSE,-149.416795,63.722625,17086,17275,2017,"2017-03-20","No","2016-08-01","2016-08-20",NA,NA,2,"17031",17315,"2016-08-19","2017-05-28","2016-10-26","2017-04-19",NA,"","","","","","2016-08-18 13:22","2017-06-04 8:59",NA,"4068-014","Northwestern Region"
"4105_008","","2740-81720",NA,"Setophaga","2016-06-18","","2017-06-25",NA,"2016-06-18","2017-06-25","","AHY","Adult",76,12.75,"Male","striata","harness",58.72798,-93.8313,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"Both","Yes","No",92.73995246,90,0.18,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,17096,17280,2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-08","2017-06-22",-2.5,"17041",17321,"2016-08-28","2017-06-05","2016-11-05","2017-04-28",NA,"","","","","","2016-09-09 11:25","2017-06-04 8:55",NA,"4105-008","Central Region"
"4105_009","","2740-81717",NA,"Setophaga","2016-06-18","","2017-06-27",NA,"2016-06-18","2017-06-27","","ASY","Adult",74.5,12.25,"Male","striata","harness",58.731288,-93.82587,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.7408646,90.25,0.08,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,TRUE,-93.8313,58.71955,17087,17289,2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-12","2017-06-23",0,"17041",17318,"2016-08-28","2017-06-06","2016-10-20","2017-05-02",NA,"","","","","","02:41.4","16:33.2",NA,"4105-009","Central Region"
"4105_016","","2740-81731",NA,"Setophaga","2016-06-22","","2017-06-22",NA,"2016-06-22","2017-06-22","","SY","Adult",71,13,"Male","striata","harness",58.71955,-93.83599,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.90378591,92,0.118,1000,20,3,1,0.8,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,17096,17308,2017,"2017-03-20","No","2016-07-10","2016-08-20","2017-06-15","2017-06-20",2,"17055",17327,"2016-09-09","2017-06-10","2016-10-31","2017-04-28",NA,"","","","","","2016-09-10 11:15","2017-06-10 3:42",NA,"4105-016","Central Region"
"4105_017","","2740-81712",NA,"Setophaga","2016-06-16","","2017-06-21",NA,"2016-06-16","2017-06-21","","ASY","Adult",77,12.75,"Male","striata","harness",58.71087,-93.84027,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",93.15526598,94,0.09,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,17097,17279,2017,"2017-03-20","No","2016-07-05","2016-08-20","2017-06-10","2017-06-20",2,"17057",17317,"2016-08-19 0:00","2017-06-06 0:00","2016-11-30 0:00","2017-03-22 0:00",NA,"","","","","","2016-09-13 0:51","2017-05-31 3:13",NA,"4105-017","Central Region"
"4210_002","","2740-81732",NA,"Setophaga","2016-06-22","","2017-06-21",NA,"2016-06-22","2017-06-21","","AHY","Adult",78,13.5,"Male","striata","harness",58.63169,-93.8201,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.71696,92.25,0.08,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,17089,17284,2017,"2017-03-20","No","2016-07-05","2016-08-20","2017-06-10","2017-06-20",0,"17050",17318,"2016-09-06 0:00","2017-06-01 0:00","","",NA,"","","","","","2016-09-06 1:04","2017-06-01 3:33",NA,"4210-002","Central Region"
"4210_004","","2740-81716",NA,"Setophaga","2016-06-18","","2017-06-24",NA,"2016-06-18","2017-06-24","","ASY","Adult",76,12.5,"Male","striata","harness",58.73192,-93.8277,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.52651409,91.75,0.1,1000,20,3,2,0.86,250,14,FALSE,"No ","Central",FALSE,TRUE,-93.8313,58.71955,17085,17273,2017,"2017-03-20","No","2016-06-20","2016-09-05","2017-06-12","2017-06-21",0,"17053",17319,"2016-09-08","2017-06-03","2016-10-30","2017-04-20",NA,"","","","","","11:30.0","48:27.5",NA,"4210-004","Central Region"
"4210_006","","2740-81704",NA,"Setophaga","2016-06-15","",NA,NA,"2016-06-15","2016-12-31","","ASY","Adult",73,11.75,"Male","striata","harness",58.69371,-93.85276,NA,NA,"","","","Churchill, Manitoba","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",92.79228387,92.5,0.05,1000,20,3,1,0.9,250,14,FALSE,"No","Central",FALSE,FALSE,-93.8313,58.71955,17092,NA,2017,"2017-03-20","No","2016-07-01","2016-08-20",NA,NA,3,"17052",NA,"2016-09-02 0:00",NA,"2016-10-23","2017-04-20 0:00",NA,"","","","","","2016-09-07 1:04",NA,NA,"4210-006","Central Region"
"A","","2110-80395",NA,"Setophaga","2013-06-13","0:30:00","2014-06-04",NA,"2013-06-13","2014-06-04","2012-07-01","AHY","Adult",NA,11.2,"Male ","striata","harness",44.528354,-72.8165699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","Yes ",120,NA,-4.010480796,"Both","Yes","Yes",93.06528577,92.25,0.125,1000,20,3,1,0.9,250,14,FALSE,"No","Eastern",TRUE,TRUE,-72.815699,44.528354,15996,16196,2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-30","2014-06-05",0,"15961",16216,"2016-10-23",NA,"2016-09-02",NA,NA,"2013-10-13","2013-10-15","2013-10-17","2013-10-18","good","14:58.6","41:31.7",NA,"A","Eastern Region"
"B","","2490-89933",NA,"Setophaga","2013-06-18","4:45:00","2014-06-17",NA,"2013-06-18","2014-06-17","2012-07-01","AHY","Adult",NA,12.8,"Female ","striata","harness",44.528354,-72.815699,NA,NA,"captured and released on Mt Mansfield, VT","removal","none","Mount Mansfield, Vermont, USA","Breeding","Biotrack model MK-6 (~0.5 g including harness)","","Biotrack","0.5","MK-6","tag-retrieval","","Deluca et al. 2015","No ",120,NA,NA,"Both","Yes","No",92.52512211,92.5,0.16,1000,20,3,1,0.9,250,14,FALSE,"","Eastern",TRUE,FALSE,-72.815699,44.528354,16002,16179,2014,"2014-03-20","No","2013-07-01","2013-08-20","2014-05-25","2014-06-10",0,"15951",16203,"","","","",NA,"2013-09-01","2013-11-01","2013-10-23","2013-10-24","good","2013-09-19 22:59","2014-05-11 0:17",NA,"B","Eastern Region"
"blpw09","3254-043","2740-82809",NA,"Setophaga","2016-06-17","","2017-06-12",NA,"2016-06-17","2017-06-12","","AHY","Adult",76,13.28,"Male","striata","harness",60.065032,-132.312099,NA,NA,"","","","Whitehorse, Yukon","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",92.15364648,92.75,0.14,1000,20,3,1,0.85,250,14,FALSE,"No","Western",FALSE,FALSE,-132.311396,60.066092,17103,17281,2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-05","2017-06-12",2,"17048",17307,"","","2016-11-03","2017-04-13",NA,"","","","","","2016-09-04 3:47","2017-05-21 10:41",NA,"blpw09","Western Region"
"blpw12","","2740-82812",NA,"Setophaga","2016-07-17","","2017-06-11",NA,"2016-07-17","2017-06-11","","SY","Adult",75,12.94,"Male","striata","harness",60.064575,-132.306115,NA,NA,"","","","Whitehorse, Yukon","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.49626128,93,0.105,1000,20,3,1,0.9,250,14,FALSE,"No","Western",FALSE,FALSE,-132.311396,60.066092,17094,17274,2017,"2017-03-20","No","2016-07-01","2016-08-20",NA,NA,2,"17037",17311,"","","","",NA,"","","","","","2016-08-24 4:03","2017-05-25 10:57",NA,"blpw12","Western Region"
"blpw14","3254-024","2740-82815",NA,"Setophaga","2016-06-18","","2017-06-11",NA,"2016-06-18","2017-06-11","","SY","Adult",76,13.18,"Male","striata","harness",60.066092,-132.306727,NA,NA,"","","","Whitehorse, Yukon","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","Yes ",120,NA,NA,"Both","Yes","No",91.44965505,93.75,0.13,1000,20,3,1,0.86,150,14,FALSE,"No","Western",FALSE,FALSE,-132.311396,60.066092,17107,17276,2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-01","2017-06-10",2.5,"17046",17308,"","","","",NA,"","","","","","2016-09-03 13:49","2017-05-22 11:19",NA,"blpw14","Western Region"
"blpw15","3254-029","2740-82814",NA,"Setophaga","2016-06-17","","2017-02-20",NA,"2016-06-17","2017-02-20","","SY","Adult",75,12.72,"Male","striata","harness",60.066805,-132.311396,NA,NA,"","","","Whitehorse, Yukon","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"South","Yes","No",92.34460739,94,0.14,1000,20,3,1,0.86,250,14,FALSE,"No","Western",FALSE,FALSE,-132.311396,60.066092,17108,NA,2017,"2017-03-20","No","2016-06-20","2016-09-01",NA,NA,1,"17049",NA,"","","","",NA,"","","","","","2016-09-08 3:36",NA,NA,"blpw15","Western Region"
"blpw25","3254-034","2740-82825",NA,"Setophaga","2016-06-19","10:40:00","2017-06-12",NA,"2016-06-19","2017-06-12","","AHY","Adult",75,11.84,"Male","striata","harness",60.557287,-133.124878,NA,NA,"","","","Whitehorse, Yukon","Breeding","","","Biotrack","?","MK-6","","","Deluca et al. 2019","No",120,NA,NA,"Both","Yes","No",91.95202075,91,0.08,1000,20,3,2,0.87,100,14,FALSE,"No","Western",FALSE,FALSE,-132.311396,60.066092,17106,17280,2017,"2017-03-20","No","2016-07-01","2016-08-20","2017-06-01","2017-06-10",1,"17036",17312,"","","","",NA,"","","","","","2016-08-23 13:10","2017-06-05 6:55",NA,"blpw25","Western Region"
"C","","2740-02206",NA,"Setophaga","2013-06-16","0:12:00","2014-03-14",NA,"2013-06-16","2014-03-14","2011-07-01","AHY","Adult",72,12.7,"Male","striata","harness",43.464762,-65.7499,NA,NA,"captured and released on Bon Portage Island, NS, Canada","removal","none","Nova Scotia, Canada","Breeding","Migrate Technology Ltd Intigeo-W50 (0.45 g including harness) geolocators","Bon Portage Island","Migrate Technology Ltd","0.45","Intigeo-W50","","F562","Deluca et al. 2015","Yes ",300,NA,NA,"South","Yes","No ",93.4612205,90.75,0.05,1000,20,3,1,0.97,250,14,FALSE,"No","Eastern",TRUE,FALSE,-65.8820445,43.4367935,15985,NA,2014,"2014-03-20","No","2013-06-15","2013-08-01",NA,NA,0,NA,NA,"","","","",NA,"2013-09-25","2013-09-27","2013-10-06","2013-10-07","good","2013-08-30 9:36",NA,NA,"C","Eastern Region"
